Machine,DebugSize,DebugRVA,MajorImageVersion,MajorOSVersion,ExportRVA,ExportSize,IatVRA,MajorLinkerVersion,MinorLinkerVersion,NumberOfSections,SizeOfStackReserve,DllCharacteristics,ResourceSize,BitcoinAddresses,Benign
333.39706,0.32884958,0.0013413752,0.51618147,4.099414,16180.533,0.1449173,251.05951,6.22498,3.0766672e-17,3.2682931,1052709.0,0.0,0.09970245,7.174965e-27,7.128334e-29
337.9062,0.0616381,58.91714,0.13368987,3.566404,155.53986,0.05777257,1741.3933,4.6102905,5.8157104e-11,5.662572,1049047.9,0.0,37.96936,1.41557155e-24,2.2997665e-26
308.31232,9.6125066e-14,3.880659e-06,0.016584784,4.245642,7.187873e-15,2.1151966e-16,1174.8241,5.9128275,3.3712621e-13,5.042946,1060288.0,32881.695,0.12739885,4.0304342e-17,1.16595955e-17
313.673,2.7445051e-15,1.6768363e-10,3.381608e-14,5.8927383,3.4095049e-18,4.102443e-21,113285.445,8.547163,9.385727e-13,10.463714,1058497.0,32915.27,5.21431e-08,1.8695339e-14,1.107989e-15
337.5856,0.06326575,84137.54,0.07390417,3.6900272,1915.1038,0.017127512,6105.8003,3.7885215,3.284591,6.8299603,2026216.1,1105.8588,1987036.5,1.447662e-14,2.6863976e-15
348.05646,1.1937694e-07,0.24930966,0.97809833,4.5371904,1.8312901e-08,1.1122466e-10,151454.2,8.620498,1.5843334e-10,5.7209244,1048251.6,32901.062,9.493507,4.6138966e-13,1.279177e-13
322.5956,3.387148e-05,12.845913,2.0422163,3.883928,1.9556055e-05,3.996462e-07,59251.37,5.8862014,3.7550437e-06,5.0198545,1054588.5,32801.914,2097.8484,1.0162899e-12,5.370447e-13
332.42035,0.0009253301,4.1722166e-07,2.1449654,4.215342,1016.43427,0.004466922,1582.874,6.458767,2.2864406e-14,3.0179412,1052074.5,0.0,0.001459472,9.2890905e-21,3.528363e-22
354.4018,3.3678268e-06,1.748465,0.21558335,4.938252,5.9620504e-07,5.4460525e-09,295925.5,10.074944,1.1099722e-09,6.2212367,1046243.44,32904.86,84.51134,1.2898202e-12,4.6688895e-13
331.35617,2.6325304e-05,264.13828,0.052319184,4.307311,0.0001382457,2.9075702e-06,6076.6006,6.0058985,6.0915064e-09,5.017715,1051151.9,32778.29,81909.28,1.2709738e-13,8.03246e-14
320.31912,1.2044829e-06,5.646946,1.1870943,4.0632267,1.2584833e-06,1.7834182e-08,18958.822,5.9137115,2.9869158e-09,5.027729,1055519.4,32796.7,2202.797,2.2163407e-13,1.00494184e-13
327.5669,180.47665,2.416748,0.0005693211,4.7728877,15.693861,79.19074,19174.793,9.004857,1.3138074e-09,9.515789,1053948.8,0.0,14.414486,7.359311e-33,1.3672882e-35
329.91794,0.17986333,0.610565,0.007251903,4.424182,270.72617,1.7883168,103367.71,8.288336,2.1915548e-14,5.1811557,1052889.6,6.5342613e-34,157.86446,3.1159859e-18,3.7441695e-19
327.2195,0.13889724,2.064339e-17,0.16488598,8.280569,562.5353,13.28519,8.0880943e-07,7.7497673,0.0,2.9236205,1054649.0,0.0,1.4241763e-15,0.0,0.0
335.76102,5292.686,0.025128646,0.010184319,10.282816,2192.9062,721.9456,22.405807,7.643787,1.9924751e-36,8.022324,1050453.6,0.0,0.00022745035,0.0,0.0
331.2445,1.0728834,0.019643394,0.07066419,4.260794,704.4773,0.5616895,6012.6143,7.07345,6.938756e-07,4.9750023,1051378.1,0.0,211.62265,1.0032972e-23,1.5523063e-25
327.95593,1.9850622e-05,1.40907746e-11,7.905102e-07,4.8600626,0.012786333,1.13456745e-05,1368.8387,8.853979,7.081566e-18,2.9647055,1052843.1,32840.523,9.348565e-09,1.1065993e-15,2.5076577e-16
323.36636,0.00025897365,2281.516,0.0016940343,5.092752,0.009978254,0.00032317446,22370.062,11.043004,3.572084e-08,5.0670395,1051555.8,33346.77,358794.66,5.1649096e-15,1.9624212e-15
331.60492,0.004125748,150.62012,0.028264038,3.870584,48.835182,0.0030921288,1809.3383,4.6506867,0.013728204,8.971931,1045290.3,0.84249693,3749.3638,1.720819e-16,2.970439e-17
323.8893,9.2069854e-07,25.10626,0.014871851,4.1330523,1.4731919e-06,1.3582711e-07,1858.9296,6.07948,8.1107304e-10,5.0205183,1051762.1,32821.508,20158.678,5.498228e-15,4.3923067e-15
330.96722,0.064811155,0.011717755,0.021128614,3.9566188,17.776318,0.37643,60250.58,7.578088,0.00016708531,4.27096,1051787.5,0.0,44.64405,1.5007603e-22,4.0079893e-24
345.1364,2.9590389e-08,0.031614475,1.0914642,4.4178905,2.1300777e-09,1.6476478e-11,172957.94,8.339526,1.1337123e-08,5.6488447,1048314.2,32882.418,1.9597129,3.8860245e-13,1.0596682e-13
323.2305,8.6450676e-08,0.020089786,5.3758484e-08,4.1776724,1.9941814,7.3884503e-09,3.595503,2.1964579,25.387579,6.310071,2.5421231e-13,1.9919527,0.059912674,2.6136807e-20,7.0935564e-22
333.09366,0.0021035995,4.7829932e-08,0.089425825,4.5344977,1.0597019,0.0059635094,12663.052,8.375996,3.7951114e-22,4.222001,1051745.4,3.8354026e-22,0.0064372704,1.02083526e-17,1.5850192e-18
332.77698,1.2599818,5.7062944e-06,0.43389443,4.123763,8733.069,0.097644605,160.33481,6.078642,1.6746669e-21,3.281927,1049824.0,0.0,0.0007690012,1.5309793e-29,8.121228e-32
335.7127,0.1038425,7.2152994e-07,0.8008497,4.2132783,1127.4833,0.035163023,141.64056,6.7192955,3.3952375e-23,3.1640894,1052697.8,0.0,0.00044216582,4.90068e-31,1.5391158e-33
311.1575,1.5233113e-07,5.6040697,0.0005925278,4.5876117,4.5268212e-07,3.070171e-08,578.1429,6.8552065,3.2469543e-07,5.042829,1057807.5,32862.188,11521.144,1.0923103e-15,7.963728e-16
332.99786,6.7852357e-06,4.8776594e-10,4.431386e-10,4.130853,2.1303664e-05,2.0897592e-06,1628.2605,5.9950247,1.0509986e-13,1.9863424,1051674.8,5.628437e-20,4.2686524e-10,6.9226135e-19,4.461141e-20
335.25333,0.09780455,2.379117e-07,0.47164887,4.238052,5781.564,10.163363,490.04175,6.362155,4.656907e-25,3.1126494,1050374.6,0.0,3.4637044e-06,1.9679428e-26,1.7034877e-28
306.51474,2.145947e-12,2.8496702e-06,0.10337252,4.242648,4.0488668e-13,5.71862e-15,8461.602,6.0997376,1.7270347e-11,5.04858,1061108.9,32890.54,0.08568976,4.7640203e-16,1.4866508e-16
340.6247,0.0044469377,16163.529,0.06432865,5.320606,0.26143652,0.0026259683,58780.355,10.026449,3.1198207e-11,5.004647,1048324.8,33014.21,300861.7,1.584044e-13,1.2946011e-13
331.37027,77.65404,0.25899193,0.00014405567,4.975005,0.22810076,14.591621,821.1977,10.741512,8.360775e-36,11.046831,1052600.6,0.0,9.773994e-05,0.0,0.0
335.512,3.936322e-06,4.1224756,5.7325478,3.9856138,1.0425475e-06,1.0495179e-08,120318.94,6.3485646,4.7435e-09,5.1271787,1052980.0,32850.06,176.1263,1.153894e-12,4.594568e-13
332.66772,6.3506e-05,1.2811084e-08,6.874343e-09,4.1700172,0.0021380011,3.328528e-05,4415.9556,6.109108,3.6959327e-13,1.9774858,1050717.1,0.007052858,2.7259698e-08,6.359269e-17,8.224638e-18
331.5607,4.2921904e-05,1.4194657e-07,0.7042738,4.1694875,35.900864,0.00020344876,1000.6809,6.3445454,1.0967863e-11,3.042144,1052315.0,0.0,0.00050775555,3.0056292e-22,6.870295e-24
